Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus23	 0.4055	 0.3157	0.4825
Locus24	 0.2673	 0.2022	0.3350
Locus25	 0.2260	 0.1541	0.2985
Locus26	 0.1116	 0.0579	0.1749
Locus27	 0.1841	 0.1055	0.2724
Locus28	 0.1024	 0.0293	0.2036
Locus29	 0.2661	 0.1869	0.3418
Locus30	 0.1828	 0.1011	0.2698
Locus31	 0.4252	 0.3643	0.4871
Locus32	 0.7569	 0.7080	0.8042
Locus33	 0.4219	 0.3492	0.4899
Locus34	 0.3701	 0.2764	0.4607
Locus35	 0.0786	 0.0325	0.1297
Locus36	 0.2082	 0.1309	0.2983
Locus37	 0.0736	 0.0294	0.1291

GGst

locus	actual	lower	upper
Locus1	 0.0837	 0.0172	0.1636
Locus2	-0.0095	-0.0371	0.0319
Locus3	 0.4760	 0.4135	0.5384
Locus4	 0.1194	 0.0507	0.2012
Locus5	 0.2581	 0.1755	0.3462
Locus6	 0.1720	 0.1024	0.2503
Locus7	 0.0711	 0.0193	0.1331
Locus8	 0.0997	 0.0288	0.1934
Locus9	 0.3371	 0.2682	0.4114
Locus10	 0.4234	 0.3476	0.4936
Locus11	 0.0518	 0.0020	0.1087
Locus12	 0.4817	 0.4064	0.5542
Locus13	 0.5372	 0.4797	0.5925
Locus14	 0.2396	 0.1610	0.3297
Locus15	 0.1269	 0.0642	0.1960
Locus16	 0.5570	 0.4905	0.6228
Locus17	 0.0881	 0.0363	0.1501
Locus18	 0.3857	 0.3013	0.4723
Locus19	 0.4207	 0.3374	0.5007
Locus20	 0.3783	 0.3068	0.4500
Locus21	 0.1381	 0.0703	0.2209
Locus22	 0.2350	 0.1595	0.3092
Locus23	 0.4167	 0.3257	0.4942
Locus24	 0.2752	 0.2083	0.3444
Locus25	 0.2363	 0.1619	0.3107
Locus26	 0.1199	 0.0627	0.1874
Locus27	 0.1887	 0.1086	0.2786
Locus28	 0.1111	 0.0321	0.2195
Locus29	 0.2698	 0.1897	0.3464
Locus30	 0.1885	 0.1048	0.2769
Locus31	 0.4288	 0.3676	0.4913
Locus32	 0.7580	 0.7092	0.8052
Locus33	 0.4249	 0.3517	0.4930
Locus34	 0.3805	 0.2848	0.4727
Locus35	 0.0846	 0.0352	0.1387
Locus36	 0.2141	 0.1347	0.3054
Locus37	 0.0812	 0.0329	0.1413

D

locus	actual	lower	upper
Locus1	 0.0575	 0.0113	0.1134
Locus2	-0.0048	-0.0186	0.0159
Locus3	 0.4337	 0.3733	0.4927
Locus4	 0.0842	 0.0349	0.1424
Locus5	 0.2407	 0.1620	0.3253
Locus6	 0.1440	 0.0830	0.2121
Locus7	 0.0459	 0.0120	0.0881
Locus8	 0.0268	 0.0057	0.0565
Locus9	 0.3242	 0.2573	0.3978
Locus10	 0.3883	 0.3167	0.4553
Locus11	 0.0408	 0.0012	0.0867
Locus12	 0.4592	 0.3869	0.5299
Locus13	 0.4581	 0.4058	0.5084
Locus14	 0.2153	 0.1429	0.2991
Locus15	 0.0737	 0.0359	0.1181
Locus16	 0.5082	 0.4428	0.5721
Locus17	 0.0579	 0.0224	0.1021
Locus18	 0.3689	 0.2870	0.4520
Locus19	 0.3991	 0.3181	0.4770
Locus20	 0.3566	 0.2873	0.4258
Locus21	 0.0998	 0.0504	0.1618
Locus22	 0.2120	 0.1427	0.2810
Locus23	 0.3427	 0.2644	0.4125
Locus24	 0.2253	 0.1697	0.2853
Locus25	 0.1697	 0.1139	0.2272
Locus26	 0.0679	 0.0341	0.1100
Locus27	 0.1606	 0.0897	0.2398
Locus28	 0.0562	 0.0160	0.1122
Locus29	 0.2470	 0.1729	0.3179
Locus30	 0.1532	 0.0812	0.2311
Locus31	 0.4061	 0.3470	0.4658
Locus32	 0.7509	 0.7015	0.7982
Locus33	 0.4068	 0.3355	0.4730
Locus34	 0.3127	 0.2317	0.3922
Locus35	 0.0475	 0.0191	0.0796
Locus36	 0.1777	 0.1098	0.2592
Locus37	 0.0337	 0.0121	0.0633

Fst

locus	actual	lower	upper
Locus1	 0.0260	 0.0037	0.0544
Locus2	-0.0042	-0.0177	0.0170
Locus3	 0.0753	 0.0589	0.0927
Locus4	 0.0361	 0.0137	0.0654
Locus5	 0.0224	 0.0127	0.0335
Locus6	 0.0303	 0.0166	0.0469
Locus7	 0.0261	 0.0061	0.0510
Locus8	 0.0696	 0.0187	0.1370
Locus9	 0.0191	 0.0124	0.0275
Locus10	 0.0570	 0.0402	0.0756
Locus11	 0.0104	-0.0016	0.0246
Locus12	 0.0410	 0.0295	0.0542
Locus13	 0.1481	 0.1213	0.1757
Locus14	 0.0298	 0.0167	0.0445
Locus15	 0.0543	 0.0265	0.0863
Locus16	 0.0990	 0.0782	0.1216
Locus17	 0.0315	 0.0133	0.0540
Locus18	 0.0250	 0.0148	0.0376
Locus19	 0.0349	 0.0237	0.0485
Locus20	 0.0332	 0.0227	0.0453
Locus21	 0.0400	 0.0181	0.0690
Locus22	 0.0279	 0.0166	0.0403
Locus23	 0.1130	 0.0784	0.1478
Locus24	 0.0637	 0.0432	0.0877
Locus25	 0.0817	 0.0509	0.1124
Locus26	 0.0542	 0.0278	0.0868
Locus27	 0.0309	 0.0153	0.0492
Locus28	 0.0550	 0.0132	0.1150
Locus29	 0.0286	 0.0173	0.0415
Locus30	 0.0368	 0.0181	0.0582
Locus31	 0.0371	 0.0275	0.0488
Locus32	 0.0271	 0.0195	0.0367
Locus33	 0.0293	 0.0199	0.0398
Locus34	 0.0950	 0.0624	0.1300
Locus35	 0.0368	 0.0137	0.0629
Locus36	 0.0435	 0.0231	0.0666
Locus37	 0.0511	 0.0205	0.0884

Fis

locus	actual	lower	upper
Locus1	 0.0252	-0.0557	0.1088
Locus2	-0.0604	-0.1758	0.0555
Locus3	 0.0155	-0.0303	0.0641
Locus4	 0.0091	-0.0675	0.0887
Locus5	 0.0431	 0.0067	0.0851
Locus6	 0.1935	 0.1316	0.2584
Locus7	 0.0059	-0.0666	0.0860
Locus8	 0.1900	 0.0485	0.3396
Locus9	 0.0297	-0.0013	0.0658
Locus10	 0.0340	-0.0069	0.0839
Locus11	 0.0480	-0.0153	0.1170
Locus12	 0.0229	-0.0154	0.0677
Locus13	-0.0212	-0.0904	0.0441
Locus14	 0.0388	-0.0098	0.0903
Locus15	 0.0438	-0.0513	0.1465
Locus16	-0.0040	-0.0580	0.0514
Locus17	-0.0057	-0.0709	0.0568
Locus18	 0.0422	 0.0029	0.0837
Locus19	 0.0405	 0.0018	0.0810
Locus20	 0.0339	-0.0079	0.0797
Locus21	 0.1136	 0.0343	0.1904
Locus22	 0.0493	-0.0033	0.1032
Locus23	 0.0105	-0.0471	0.0698
Locus24	 0.0913	 0.0256	0.1580
Locus25	-0.0616	-0.1243	0.0043
Locus26	 0.0212	-0.0598	0.1134
Locus27	 0.1792	 0.1227	0.2413
Locus28	 0.0927	-0.0321	0.2236
Locus29	 0.0544	 0.0067	0.1037
Locus30	 0.3536	 0.2776	0.4375
Locus31	 0.0326	-0.0059	0.0767
Locus32	 0.0670	 0.0321	0.1041
Locus33	 0.0393	 0.0003	0.0825
Locus34	 0.1838	 0.1102	0.2576
Locus35	 0.0331	-0.0539	0.1206
Locus36	 0.0194	-0.0435	0.0800
Locus37	 0.0479	-0.0568	0.1598

Fit

locus	actual	lower	upper
Locus1	 0.0506	-0.0294	0.1387
Locus2	-0.0649	-0.1813	0.0486
Locus3	 0.0896	 0.0433	0.1376
Locus4	 0.0449	-0.0313	0.1198
Locus5	 0.0646	 0.0269	0.1071
Locus6	 0.2179	 0.1557	0.2779
Locus7	 0.0318	-0.0442	0.1081
Locus8	 0.2463	 0.1027	0.3944
Locus9	 0.0483	 0.0181	0.0856
Locus10	 0.0890	 0.0481	0.1345
Locus11	 0.0579	-0.0039	0.1230
Locus12	 0.0630	 0.0241	0.1079
Locus13	 0.1301	 0.0705	0.1920
Locus14	 0.0674	 0.0212	0.1167
Locus15	 0.0957	-0.0013	0.2000
Locus16	 0.0954	 0.0456	0.1493
Locus17	 0.0260	-0.0371	0.0903
Locus18	 0.0661	 0.0283	0.1096
Locus19	 0.0740	 0.0359	0.1138
Locus20	 0.0659	 0.0249	0.1107
Locus21	 0.1491	 0.0719	0.2249
Locus22	 0.0758	 0.0240	0.1274
Locus23	 0.1223	 0.0629	0.1811
Locus24	 0.1493	 0.0847	0.2133
Locus25	 0.0252	-0.0399	0.0900
Locus26	 0.0742	-0.0118	0.1624
Locus27	 0.2046	 0.1455	0.2664
Locus28	 0.1426	 0.0161	0.2682
Locus29	 0.0815	 0.0351	0.1285
Locus30	 0.3774	 0.3029	0.4573
Locus31	 0.0685	 0.0284	0.1140
Locus32	 0.0923	 0.0589	0.1300
Locus33	 0.0675	 0.0295	0.1096
Locus34	 0.2614	 0.1869	0.3270
Locus35	 0.0687	-0.0136	0.1473
Locus36	 0.0621	 0.0070	0.1198
Locus37	 0.0965	-0.0119	0.2146
