Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

Loci	pop1,  vs  pop2,	pop1,  vs  pop3,	pop1,  vs  pop4,	pop1,  vs  pop5,	pop1,  vs  pop6,	pop2,  vs  pop3,	pop2,  vs  pop4,	pop2,  vs  pop5,	pop2,  vs  pop6,	pop3,  vs  pop4,	pop3,  vs  pop5,	pop3,  vs  pop6,	pop4,  vs  pop5,	pop4,  vs  pop6,	pop5,  vs  pop6,
Locus29	0.0532	0.4078	0.1838	0.2904	0.2024	0.589	0.2889	0.1264	0.2988	0.1122	0.5318	0.2179	0.2586	0.0016	0.2069
Locus30	-0.0143	0.2887	0.2506	0.3846	0.2082	0.1877	0.1498	0.3264	0.1718	-0.0011	0.1641	0.075	0.1413	0.0839	0.1865
Locus31	0.1131	0.4517	0.3117	0.7311	0.6141	0.3368	0.2291	0.7775	0.5158	-0.0275	0.4905	0.2359	0.4848	0.3658	0.3957
Locus32	0.2868	0.7809	0.5175	0.9126	0.6097	0.8256	0.7879	0.8489	0.8086	0.1233	0.9408	0.7517	0.9	0.7029	0.7815
Locus33	0.1238	0.2828	0.1942	0.532	0.0917	0.53	0.4299	0.2872	0.4516	0.159	0.7439	0.3305	0.7552	0.1912	0.7173
Locus34	-0.0188	0.5954	0.5553	0.4845	0.4239	0.662	0.6327	0.5653	0.5158	-0.0241	0.258	0.0368	0.2008	0.0531	0.1508
Locus35	0.0228	0.0549	0.0335	0.1697	0.0298	0.0025	0.0231	0.2183	0.0133	0.0073	0.1524	0.0142	0.1049	-0.0037	0.1503
Locus36	0.0902	0.2827	0.2055	0.3	0.0929	0.334	0.2476	0.3992	0.2749	-0.0097	0.2782	0.0436	0.2448	0.0356	0.1495
Locus37	-0.0028	0.0702	0.1809	0.0689	0.1183	0.0431	0.1456	0.0332	0.0736	0.021	0.0028	0.0135	0.0617	0.0478	-0.0076

GGst

Loci	pop1,  vs  pop2,	pop1,  vs  pop3,	pop1,  vs  pop4,	pop1,  vs  pop5,	pop1,  vs  pop6,	pop2,  vs  pop3,	pop2,  vs  pop4,	pop2,  vs  pop5,	pop2,  vs  pop6,	pop3,  vs  pop4,	pop3,  vs  pop5,	pop3,  vs  pop6,	pop4,  vs  pop5,	pop4,  vs  pop6,	pop5,  vs  pop6,
Locus1	0.0098	-0.0207	0.0356	0.1594	0.1024	0.0439	0.0905	0.2698	0.2396	0.0364	0.1332	0.0666	0.0218	0.0282	-0.0083
Locus2	-0.0055	-0.0184	-0.0183	-0.0154	-0.0111	-0.0194	-0.006	0.0134	0.0234	-0.0194	-0.0096	-0.0029	-0.0175	-0.0134	-0.0238
Locus3	0.092	0.7113	0.7288	0.663	0.5172	0.7267	0.786	0.7131	0.5149	0.0972	0.3667	0.1624	0.3987	0.1711	0.1897
Locus4	-0.0075	0.3284	0.0509	0.1457	0.0232	0.2668	0.0288	0.0825	-0.0281	0.1327	0.3606	0.189	0.0868	-0.0043	0.0535
Locus5	-0.0359	0.3281	0.4343	0.4073	0.2182	0.3875	0.4223	0.4526	0.3632	0.0698	0.1339	0.2361	0.089	0.2443	0.1616
Locus6	0.0081	0.3124	0.2588	0.2051	0.1443	0.1777	0.1386	0.1917	0.1741	0.0371	0.2552	0.2398	0.1558	0.129	0.1423
Locus7	0.0473	0.1254	0.0345	0.0886	0.2303	0.0142	-0.0182	0.0564	0.1692	0.0113	0.0509	0.096	0.0243	0.1233	0.0074
Locus8	-0.0137	0.0056	0.0117	0.2311	0.0042	0.0081	0.0175	0.2386	0.0064	-0.0079	0.2645	0.0036	0.2274	-0.003	0.1666
Locus9	0.0859	0.3032	0.448	0.4865	0.4966	0.2293	0.5204	0.2638	0.3157	0.1145	0.2797	0.2924	0.4492	0.4306	0.2825
Locus10	0.0716	0.6199	0.3015	0.712	0.7157	0.3861	0.1384	0.6222	0.5746	0.2282	0.6022	0.1617	0.4505	0.2676	0.2738
Locus11	0.0129	0.0393	0.0305	0.1571	0.0448	-0.0014	0.0362	0.1853	0.0033	-0.0239	0.0492	-0.0124	0.0715	-0.0028	0.171
Locus12	-0.0105	0.4804	0.4735	0.5723	0.4065	0.4441	0.4114	0.6448	0.3764	0.0498	0.6539	0.6826	0.7064	0.6927	0.4911
Locus13	-0.0229	0.8204	0.803	0.8527	0.8097	0.7649	0.7447	0.7936	0.7613	-0.0198	0.324	0.0136	0.3723	0.0937	0.2768
Locus14	0.003	0.3214	0.3121	0.4723	0.3163	0.2134	0.2189	0.4875	0.2953	-0.0021	0.2413	0.0452	0.3159	0.0493	0.1824
Locus15	0.0059	-0.0057	0.0984	0.2499	0.167	-0.0268	0.052	0.2717	0.0522	0.0803	0.3059	0.099	0.1335	0.0362	0.2869
Locus16	0.071	0.8124	0.7808	0.7711	0.6764	0.7477	0.6354	0.5089	0.5263	0.0669	0.7905	0.482	0.5262	0.2614	0.3212
Locus17	-0.0108	0.0298	0.0284	0.0833	0.1778	0.0486	0.0188	0.1075	0.2273	0.0095	0.0502	0.0593	0.0598	0.1873	0.1758
Locus18	-0.0546	0.5088	0.3737	0.4976	0.1718	0.4996	0.3315	0.5022	0.1749	0.0546	0.7008	0.4408	0.5103	0.2665	0.293
Locus19	0.002	0.4203	0.3569	0.5769	0.4459	0.6469	0.5556	0.6123	0.5495	0.028	0.4815	0.42	0.4201	0.4773	0.2066
Locus20	-0.0188	0.5858	0.5608	0.7179	0.4279	0.5238	0.5392	0.6325	0.4597	-0.0161	0.2235	0.1484	0.2032	0.1571	0.4408
Locus21	0.0161	0.0676	0.0373	0.1959	0.2767	0.1754	0.0629	0.1526	0.2727	0.0362	0.1883	0.2003	0.0844	0.2346	0.1332
Locus22	-0.0318	0.1137	0.1494	0.5568	0.2106	0.1968	0.223	0.5221	0.2128	0.0144	0.3913	0.0474	0.4443	0.083	0.2257
Locus23	0.0065	0.4369	0.4634	0.689	0.6788	0.2765	0.3231	0.6944	0.5279	0.0435	0.6177	0.0754	0.6652	0.2325	0.4773
Locus24	-0.0061	0.5861	0.5339	0.6716	0.2543	0.5039	0.4167	0.5318	0.1621	0.02	0.0135	0.1103	0.0082	0.0627	0.1524
Locus25	0.0068	0.309	0.3841	0.6128	0.165	0.1973	0.2422	0.5088	0.0599	0.0413	0.1425	0.1122	0.2067	0.0827	0.3113
Locus26	0.0112	0.1761	0.0898	0.0172	0.3498	0.1339	0.0669	0.0553	0.3477	-0.0064	0.085	0.0631	0.0223	0.109	0.1963
Locus27	0.0045	0.3114	0.2937	0.371	0.275	0.2053	0.2009	0.2812	0.2195	-8e-04	0.1448	0.0925	0.1834	0.0575	0.1987
Locus28	0.0217	0.2758	0.0938	0.3431	-0.0113	0.1117	-0.0037	0.1674	-0.0132	0.0358	-0.0177	0.1882	0.0771	0.0347	0.2513
Locus29	0.056	0.4209	0.1907	0.3034	0.2113	0.6033	0.2995	0.1341	0.3115	0.1175	0.5489	0.2285	0.2703	0.0017	0.2185
Locus30	-0.0157	0.3141	0.2701	0.4092	0.2264	0.2075	0.1637	0.3501	0.1881	-0.0013	0.1842	0.0857	0.1566	0.094	0.2063
Locus31	0.1174	0.4622	0.3207	0.7413	0.6248	0.346	0.2362	0.7862	0.5266	-0.0287	0.5035	0.244	0.4975	0.3759	0.4088
Locus32	0.2898	0.7829	0.5205	0.9147	0.6132	0.8277	0.7903	0.8527	0.8114	0.1246	0.9423	0.7545	0.9025	0.7061	0.7868
Locus33	0.1276	0.2888	0.199	0.5428	0.0942	0.5387	0.439	0.2974	0.4604	0.1631	0.7522	0.337	0.7635	0.196	0.7261
Locus34	-0.0214	0.6244	0.585	0.525	0.4519	0.6913	0.6631	0.6076	0.547	-0.0275	0.2919	0.0413	0.2294	0.0595	0.1726
Locus35	0.0294	0.0705	0.042	0.2034	0.0372	0.0034	0.0304	0.2677	0.0175	0.0097	0.1913	0.0186	0.13	-0.0048	0.1828
Locus36	0.0989	0.3071	0.2252	0.3204	0.1015	0.3607	0.27	0.4224	0.295	-0.0111	0.3011	0.0486	0.2659	0.0398	0.1616
Locus37	-0.0047	0.1012	0.2401	0.1028	0.1696	0.0619	0.1932	0.0496	0.106	0.0269	0.0039	0.0183	0.0803	0.0617	-0.0107

D

Loci	pop1,  vs  pop2,	pop1,  vs  pop3,	pop1,  vs  pop4,	pop1,  vs  pop5,	pop1,  vs  pop6,	pop2,  vs  pop3,	pop2,  vs  pop4,	pop2,  vs  pop5,	pop2,  vs  pop6,	pop3,  vs  pop4,	pop3,  vs  pop5,	pop3,  vs  pop6,	pop4,  vs  pop5,	pop4,  vs  pop6,	pop5,  vs  pop6,
Locus1	0.0066	-0.0142	0.024	0.1104	0.07	0.0309	0.0622	0.1946	0.1721	0.0254	0.0944	0.0465	0.0143	0.0187	-0.0053
Locus2	-0.0028	-0.0095	-0.0094	-0.0079	-0.0057	-0.0097	-0.003	0.0068	0.0118	-0.0097	-0.0048	-0.0015	-0.0086	-0.0066	-0.0116
Locus3	0.0767	0.67	0.6921	0.6305	0.4802	0.6813	0.7497	0.6779	0.4719	0.0812	0.3301	0.141	0.364	0.1505	0.1723
Locus4	-0.0052	0.253	0.0354	0.097	0.0162	0.2053	0.0204	0.055	-0.0198	0.0963	0.2658	0.141	0.0568	-0.003	0.035
Locus5	-0.0334	0.3073	0.4133	0.384	0.2067	0.3651	0.4016	0.4288	0.3476	0.0627	0.12	0.2193	0.0801	0.2288	0.1489
Locus6	0.0066	0.269	0.2191	0.1761	0.1237	0.1469	0.1129	0.1621	0.148	0.0291	0.2156	0.2038	0.1281	0.1065	0.1211
Locus7	0.0255	0.0763	0.0189	0.0549	0.1584	0.0087	-0.0104	0.0364	0.1193	0.007	0.0353	0.0705	0.0158	0.087	0.0054
Locus8	-0.0032	0.0011	0.0024	0.0957	0.001	0.0016	0.0036	0.1	0.0016	-0.0012	0.0992	7e-04	0.085	-6e-04	0.0665
Locus9	0.0823	0.2927	0.4342	0.4699	0.4847	0.2204	0.5062	0.2509	0.3053	0.1086	0.2656	0.2818	0.4303	0.4166	0.2689
Locus10	0.0553	0.5663	0.2542	0.6657	0.671	0.3546	0.1217	0.5912	0.5439	0.2111	0.5824	0.1515	0.4273	0.2504	0.2597
Locus11	0.0105	0.0316	0.0239	0.1278	0.0351	-0.0011	0.0286	0.1524	0.0026	-0.0183	0.0388	-0.0095	0.0553	-0.0021	0.1348
Locus12	-0.0097	0.4567	0.4504	0.5488	0.3868	0.4229	0.3911	0.6247	0.3593	0.0452	0.6299	0.6626	0.6847	0.6734	0.4684
Locus13	-0.0154	0.7591	0.7371	0.8084	0.7489	0.7003	0.6762	0.7442	0.6993	-0.0143	0.2689	0.0101	0.3123	0.0709	0.2296
Locus14	0.0027	0.2939	0.2885	0.4345	0.2881	0.1916	0.1994	0.4481	0.2671	-0.0018	0.2128	0.0394	0.2855	0.0437	0.1588
Locus15	0.0034	-0.0033	0.0574	0.1179	0.1056	-0.0166	0.032	0.1424	0.0337	0.0504	0.1657	0.0656	0.0619	0.0226	0.1559
Locus16	0.0551	0.7794	0.7409	0.7121	0.6297	0.7151	0.5922	0.4423	0.4841	0.0598	0.7555	0.4551	0.4722	0.2384	0.2787
Locus17	-0.007	0.0192	0.0197	0.0571	0.103	0.0324	0.0133	0.0764	0.1395	0.0065	0.0341	0.0325	0.0437	0.1184	0.1073
Locus18	-0.0517	0.4889	0.3595	0.4757	0.1648	0.4812	0.3194	0.4818	0.1686	0.0505	0.6771	0.4231	0.4875	0.2562	0.2768
Locus19	0.0018	0.4016	0.3372	0.5548	0.4286	0.6245	0.5292	0.5861	0.5272	0.0257	0.4588	0.4026	0.3958	0.4571	0.1932
Locus20	-0.0171	0.5627	0.5385	0.6981	0.4027	0.5014	0.5179	0.6112	0.4353	-0.0148	0.2081	0.1362	0.1895	0.145	0.4162
Locus21	0.01	0.0422	0.0237	0.1447	0.2111	0.1198	0.0424	0.1158	0.2154	0.0238	0.1424	0.1529	0.0636	0.1852	0.1105
Locus22	-0.0278	0.1009	0.1319	0.5189	0.1898	0.179	0.2015	0.4884	0.1945	0.0127	0.3588	0.0424	0.4074	0.0737	0.2029
Locus23	0.0046	0.3559	0.358	0.6228	0.6102	0.2197	0.2424	0.6364	0.4611	0.03	0.5572	0.0594	0.5859	0.1765	0.4243
Locus24	-0.0051	0.519	0.4743	0.607	0.219	0.4388	0.3623	0.4642	0.1384	0.0143	0.0092	0.0848	0.0058	0.0491	0.1174
Locus25	0.0034	0.2123	0.2687	0.4958	0.0994	0.1384	0.1697	0.4103	0.0374	0.0313	0.1152	0.0834	0.167	0.0599	0.2504
Locus26	0.0052	0.0998	0.0492	0.0098	0.229	0.0682	0.0333	0.0295	0.2128	-0.0034	0.0505	0.0364	0.013	0.065	0.129
Locus27	0.0038	0.2697	0.2587	0.3304	0.2395	0.1731	0.1732	0.2452	0.1882	-7e-04	0.1198	0.0752	0.1565	0.0477	0.1686
Locus28	0.0105	0.1497	0.0475	0.1903	-0.0053	0.0574	-0.0019	0.0865	-0.0065	0.0177	-0.0079	0.0994	0.038	0.0175	0.1347
Locus29	0.0505	0.3942	0.1768	0.2769	0.1933	0.5736	0.278	0.1186	0.2857	0.1068	0.5133	0.2071	0.2465	0.0015	0.195
Locus30	-0.013	0.2612	0.23	0.358	0.1892	0.167	0.1355	0.3008	0.1548	-9e-04	0.1429	0.0641	0.1256	0.0736	0.1657
Locus31	0.1088	0.4407	0.3025	0.72	0.6029	0.3273	0.2218	0.768	0.5044	-0.0263	0.4768	0.2277	0.4714	0.3554	0.3821
Locus32	0.2839	0.779	0.5145	0.9103	0.6061	0.8235	0.7853	0.8448	0.8058	0.122	0.9393	0.7489	0.8974	0.6996	0.776
Locus33	0.1198	0.2768	0.1892	0.5206	0.0892	0.5209	0.4206	0.2766	0.4426	0.1548	0.7352	0.3239	0.7464	0.1863	0.7079
Locus34	-0.0162	0.5615	0.5209	0.4364	0.3929	0.6266	0.5963	0.5127	0.4799	-0.0207	0.2207	0.0322	0.17	0.0466	0.1277
Locus35	0.0161	0.0387	0.0248	0.133	0.0223	0.0016	0.0156	0.1619	0.0092	0.0049	0.1096	0.0096	0.0783	-0.0027	0.115
Locus36	0.0814	0.2565	0.1848	0.2783	0.0841	0.305	0.2238	0.3741	0.2536	-0.0083	0.2537	0.0385	0.2225	0.0315	0.1369
Locus37	-0.001	0.037	0.1115	0.0323	0.0601	0.0236	0.092	0.0163	0.0387	0.0151	0.0017	0.0087	0.0422	0.0335	-0.0045

Fst

Loci	pop1,  vs  pop2,	pop1,  vs  pop3,	pop1,  vs  pop4,	pop1,  vs  pop5,	pop1,  vs  pop6,	pop2,  vs  pop3,	pop2,  vs  pop4,	pop2,  vs  pop5,	pop2,  vs  pop6,	pop3,  vs  pop4,	pop3,  vs  pop5,	pop3,  vs  pop6,	pop4,  vs  pop5,	pop4,  vs  pop6,	pop5,  vs  pop6,
Locus1	0.0031	-0.0062	0.0118	0.0556	0.0335	0.0134	0.03	0.0938	0.0799	0.0114	0.0437	0.0198	0.008	0.0084	-0.0039
Locus2	-0.0025	-0.0095	-0.0077	-0.0058	-0.0039	-0.0113	-0.0024	0.0077	0.0125	-0.01	-0.0048	-0.0017	-0.0068	-0.005	-0.0094
Locus3	0.0164	0.1245	0.1192	0.0889	0.0717	0.1416	0.1439	0.1095	0.0813	0.0164	0.0544	0.0245	0.0548	0.0241	0.0218
Locus4	-0.0041	0.1007	0.0158	0.0538	0.0078	0.0757	0.0073	0.028	-0.0088	0.0404	0.1299	0.0569	0.032	-4e-04	0.0211
Locus5	-0.0037	0.0287	0.0347	0.0368	0.0134	0.035	0.0342	0.0417	0.0238	0.007	0.016	0.0216	0.0095	0.0199	0.0153
Locus6	-0.001	0.0569	0.0496	0.0329	0.0213	0.0332	0.0274	0.0327	0.028	0.0064	0.0477	0.0426	0.0303	0.0238	0.0217
Locus7	0.024	0.0533	0.0157	0.0362	0.0866	0.006	-0.007	0.0218	0.0577	0.0034	0.0152	0.0264	0.0084	0.0401	0.0015
Locus8	-0.011	0.0016	0.0088	0.1511	-7e-04	0.0058	0.0154	0.1537	0.0024	-0.0076	0.1808	-0.0025	0.1636	-0.0048	0.1039
Locus9	0.0032	0.0141	0.0236	0.0307	0.0225	0.0111	0.0283	0.0171	0.0149	0.0063	0.0191	0.0148	0.0328	0.0239	0.0188
