Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

Loci	sid98,  vs  sid75,	sid98,  vs  sid50,	sid98,  vs  sid1,	sid75,  vs  sid50,	sid75,  vs  sid1,	sid50,  vs  sid1,
MAL04-936350	0.0604	0.0482	0.0981	0.208	7e-04	0.2655
MAL04-991586	0.1939	-0.003	0.0997	0.1777	0.0145	0.0875
MAL04-994352	0.0312	0.0259	-0.0011	0.1198	0.0187	0.041
MAL05-132132	0.0831	0.2938	0.1712	0.0703	0.0136	0.0181
MAL05-144161	0.0759	-0.0034	0.0915	0.0809	-0.0029	0.0967
MAL05-192222	0.5207	0.4033	0.3465	0.0096	0.0271	5e-04
MAL05-329493	0.0235	-0.002	0.0261	0.012	-0.0036	0.0144
MAL05-364227	0.1264	0.0292	0.1106	0.0395	-0.0028	0.0299
MAL05-369684	0.1476	0.0839	0.2686	0.0065	0.0283	0.0704
MAL05-383150	0.0143	0.0238	0.0124	-0.0036	-0.0034	-8e-04
MAL05-396039	0.1889	0.3993	0.2424	0.0619	6e-04	0.0374
MAL05-426361	0.0437	0	0.1297	0.0684	0.0211	0.1641
MAL05-475275	0.1611	0.5389	0.1771	0.1434	-0.0034	0.1321
MAL05-622362	0.2054	0.603	0.1276	0.1453	0.0086	0.234
MAL05-668859	0.2083	0.0148	0.3448	0.1301	0.0214	0.2535
MAL05-680743	0.0378	0.1612	0.0824	0.0465	0.0049	0.017
MAL05-734299	0.0294	0.0194	0.0992	-0.0026	0.0289	0.0453
MAL05-796712	0.0914	0.013	0.0739	0.1648	-0.0024	0.1426
MAL05-798464	-0.0015	0.1046	1e-04	0.133	-0.0037	0.134
MAL05-831868	0.0041	0.1292	-0.0017	0.0725	0.0111	0.1505
MAL05-855820	0.1833	0.0091	0.3539	0.1034	0.0385	0.2498
MAL05-908821	0.1037	0.0381	0.2501	0.0126	0.0327	0.0983
MAL05-931601	0.0011	0.0348	0.0857	0.0658	0.0477	0.2206
MAL05-1043649	0.2104	0.5217	0.1292	0.1077	0.008	0.1788
MAL05-1188652	0.0119	0.2115	-0.0017	0.126	0.0057	0.1898
MAL05-1217046	0.2477	0.4537	0.2716	0.0387	-0.003	0.0309
MAL06-148357	0.0519	0.0191	0.042	0.0094	-0.0024	0.0042
MAL06-159081	0.2761	0.5652	0.5255	0.0746	0.056	-0.0012
MAL06-182962	0.0058	0.0449	-0.0015	0.0101	8e-04	0.0322
MAL06-261657	0.0118	0.038	0.0109	0.0016	-0.0035	0.005
MAL06-312410	0.0512	0.3255	0.021	0.1286	0.0035	0.1935
MAL06-315729	NaN	NaN	0.0612	NaN	0.0601	0.0609
MAL06-327977	0.0647	0.2497	0.1397	0.0645	0.0111	0.0186
MAL06-378824	0.0612	0.1171	0.0877	0.0115	-4e-04	0.0027
MAL06-404675	-0.0042	0.0162	0.0596	0.0172	0.0545	0.1083
MAL06-417465	0.0335	0.0455	0.0907	-0.0043	0.0208	0.0148
MAL06-510590	-0.0042	0.0162	0.0638	0.0172	0.0587	0.1131
MAL06-581030	0.2933	0.371	0.1069	0.0115	0.0598	0.1153
MAL06-654198	-9e-04	0.0147	-4e-04	0.0014	0.0073	0.0297
MAL06-909067	0.0218	-0.0012	0.0025	0.0095	0.0438	0.0104
MAL06-938236	0.1406	0.5783	0.1252	0.1937	-0.003	0.2165
MAL07-178000	0.0537	0.011	0.2589	0.0106	0.0792	0.1601
MAL07-277102	0.1027	0.003	0.1821	0.1482	0.0094	0.2358
MAL07-281602	0.0608	-0.0034	0.0025	0.0568	0.0846	0.0037
MAL07-283525	0.0093	0.1161	0.0402	0.1949	0.0048	0.272
MAL07-537094	0.0126	0.0095	0.0245	0.0399	-0.0022	0.0541
MAL07-665556	0.001	0.0365	0.0269	0.0172	0.0087	0.001
MAL07-1122074	0.0022	0.0229	0.0237	0.0062	0.0071	NaN
MAL07-1184520	0.1354	-0.0029	0.0893	0.1511	0.002	0.1026
MAL07-1225730	-0.0042	0.1302	0.0367	0.1378	0.0408	0.0284
MAL07-1314717	0.0828	0.003	0.0721	0.1014	-0.0029	0.0904
MAL07-1318034	0.0609	0.1385	0.0692	0.0257	-0.0052	0.0249
MAL08-324349	0.1737	0.5202	0.1182	0.143	0.006	0.2215
MAL08-329153	0.2216	0.2575	0.3063	-0.0032	0.0047	-4e-04
MAL08-414103	0.1669	0.0153	0.277	0.2646	0.0131	0.3889
MAL08-415215	0.367	0.0934	0.5459	0.1232	0.0248	0.2584
MAL08-418882	0.0287	0.3708	0.0013	0.2684	0.0192	0.3576
MAL08-423288	0.0217	0.0347	-0.001	-0.0031	0.0117	0.0225
MAL08-472454	0.2928	0.377	0.3504	0.0098	0.0024	-8e-04
MAL08-477431	0.1619	0.4482	0.4594	0.0887	0.0955	-0.0027
MAL08-502175	0.1721	-0.0031	0.2487	0.1599	0.0056	0.2353
MAL08-506860	0.1721	-7e-04	0.2202	0.2005	1e-04	0.2502
MAL08-510277	-0.0013	-0.0011	-9e-04	-0.0045	-0.0034	-0.0028
MAL08-550806	-0.0015	0.0562	0.084	0.0805	0.056	0.252
MAL08-598974	0.0412	0.1866	0.0956	0.0584	0.0079	0.0207
MAL08-620258	0.2825	0.4486	0.3772	0.0262	0.0063	0.0032
MAL08-682727	0.1648	0.2819	0.205	0.0146	-0.0012	0.0052
MAL08-702678	0.0762	0.0347	0.0501	0.0099	0.0019	-6e-04
MAL08-740413	-0.0033	0.1838	-0.002	0.208	-6e-04	0.1671
MAL08-753870	0.0308	0.0995	0.0815	0.0183	0.0093	-0.0012
MAL08-880658	0.1026	-0.0033	0.0858	0.0959	-0.0024	0.0795
MAL08-992462	0.0219	0.0658	0.0256	0.0068	-0.0036	0.0072
MAL08-998189	0.0759	0.0164	0.0848	0.0166	-0.0036	0.0223
MAL08-1113364	0.0881	0.0944	0.062	-0.0044	-6e-04	0.0013
MAL08-1122713	0.0888	0.2567	0.0075	0.0458	0.0396	0.1739
MAL08-1191793	0.0059	-0.0026	-0.0016	0.0121	0.0012	7e-04
MAL08-1238679	0.1286	0.2638	0.1776	0.0249	8e-04	0.0082
MAL08-1249200	0.0642	0.0651	0.0548	NaN	2e-04	0.0011
MAL09-231063	0.017	0.0294	0.0727	0.0998	0.0138	0.1944
MAL09-265315	0.2524	0.0434	0.3123	0.0905	4e-04	0.1324
MAL09-478750	0.0799	0.2611	0.0042	0.0646	0.0458	0.2093
MAL09-597888	-0.0041	0.0095	0.0104	0.0062	0.0071	NaN
MAL09-634010	0.0163	-8e-04	0.036	0.0318	-0.0017	0.0547
MAL09-917254	0.0402	0.0119	0.0339	0.0092	-0.0029	0.0055
MAL09-1142293	0.0377	0.0889	0.0819	0.2341	0.0056	0.3094
MAL09-1204316	0.0317	0.1172	0.0858	0.0277	0.0113	6e-04
MAL09-1206830	0.0022	0.0229	0.0237	0.0062	0.0071	NaN
MAL10-190158	0.0679	0.2844	0.192	0.0794	0.03	0.0096
MAL10-303698	0.116	0.0019	0.2682	0.1473	0.0389	0.3051
MAL10-996032	0.0033	0.0613	0.0428	0.0242	0.0125	-0.001
MAL10-1047321	0.3715	0.4224	0.4814	-0.0017	0.0097	0.0012
MAL10-1228500	0.0087	0.0095	0.0104	NaN	NaN	NaN
MAL10-1281631	0.0012	0.1701	0.0011	0.123	0.0146	0.2136
MAL10-1322020	0.0179	0.0269	0.017	-0.0034	-0.0035	-6e-04
MAL10-1389364	0.0451	0.0496	0.0755	0.1788	-1e-04	0.2264
MAL10-1391783	0.0062	-0.0031	0.013	0.0102	-0.0031	0.0176
MAL10-1519672	0.0347	0.002	0.0337	0.0591	-0.0037	0.0575
MAL11-386092	-0.0042	0.118	0.0066	0.1134	0.0044	0.0688
MAL11-565294	-0.0034	0.2934	0.0871	0.316	0.1018	0.0717
MAL11-593539	-0.0021	-0.002	0.0525	0.0023	0.0356	0.0647
MAL11-637435	0.0178	0.1264	0.1305	0.2405	0.0507	0.4483
MAL11-683964	0.0956	0.0114	-0.0025	0.0395	0.0935	0.0107
MAL11-753549	-0.0042	-0.0034	0.0756	-0.0045	0.0808	0.0787
MAL11-773903	0.0186	0.0967	-0.0025	0.0322	0.0163	0.0921
MAL11-792549	0.0616	0.0164	0.0299	0.1383	0.0024	0.092
MAL11-828595	0.0791	0.0524	0.0869	-7e-04	-0.0035	0.0027
MAL11-874947	0.1957	-0.0032	0.2433	0.2051	-4e-04	0.2532
MAL11-920191	0.08	0.0117	0.0962	0.0423	-0.0027	0.057
MAL11-968080	-0.002	0.0438	0.0247	0.0255	0.0411	0.1309
MAL11-987252	0.0392	0.0059	0.0325	0.0081	-0.0032	0.0055
MAL11-1020133	-0.0025	0.0563	0.0562	0.074	0.0738	-0.0028
MAL11-1038073	0.0035	0.1315	0.0075	0.0787	-0.0035	0.0742
MAL11-1188633	-0.0043	0.0563	-0.0014	0.0547	-0.0024	0.0732
MAL11-1243997	3e-04	0.0916	0.0047	0.1289	-0.0034	0.1413
MAL11-1271589	0.1564	0.3716	0.1386	0.0621	-0.0028	0.08
MAL11-1275603	0.0954	0.177	0.1119	0.0096	-0.0031	0.0061
MAL11-1295603	0.0043	-0.0019	0.0104	0.0115	0.0293	0.0046
MAL11-1321195	-0.0031	0.0044	0.0369	-0.0015	0.025	0.0115
MAL11-1509521	0.0242	0.0506	7e-04	0.0062	0.0101	0.0336
MAL11-1748611	0.1351	0.0174	0.1638	0.0507	-0.0022	0.0708
MAL11-1752891	0.4489	0.1311	0.5033	0.1207	-0.0014	0.1567
MAL11-1791173	0.1653	0.0122	-0.001	0.1051	0.1507	0.0055
MAL12-175811	0.0869	0.0046	0.1957	0.1445	0.0201	0.2724
MAL12-381783	0.0043	-0.0033	0.0249	0.0019	0.0027	0.0212
MAL12-399322	0.0732	0.0205	0.0045	0.0116	0.0355	0.0023
MAL12-529412	0.1907	0.3108	0.1597	0.0147	-0.0018	0.0297
MAL12-646259	0.0222	0.0292	0.0282	-0.0041	-0.0034	-0.0028
MAL12-698129	0.1422	0.3236	0.0543	0.0556	0.033	0.1735
MAL12-702015	0.0146	-0.0015	0.0035	0.027	2e-04	0.0116
MAL12-726595	0.0016	-0.0021	0.0688	-0.0031	0.0408	0.054
MAL12-802737	0.0396	0.3735	0.0353	0.1827	-0.0035	0.1964
MAL12-839896	0.0978	0.1785	0.2156	0.0104	0.0262	-1e-04
MAL12-857238	0.0055	6e-04	0.0211	0.0217	-5e-04	0.0438
MAL12-858494	-0.0043	-0.0032	0.0062	-0.0042	0.0053	0.0031
MAL12-907255	0.0235	0.0084	-0.0025	0.0669	0.0214	0.011
MAL12-943330	0.0533	0.0024	0.0513	0.0257	-0.0036	0.0246
MAL12-1078311	0.2185	0.2861	0.1947	0.0172	-0.0018	0.0289
MAL12-1156125	4e-04	0.0913	0.0283	0.055	0.008	0.0169
MAL12-1212106	0.1058	0.2522	0.2078	0.0321	0.0154	2e-04
MAL12-1214787	0.0169	0.2174	0.0458	0.1095	0.0022	0.0673
MAL12-1400880	0.0896	0.0017	0.1606	0.1188	0.0096	0.1935
MAL12-1598773	0.0301	0.1481	0.0709	0.0401	0.0041	0.0127
MAL12-1761552	0.1922	0.4285	0.235	0.0701	-0.001	0.0492
MAL12-2046726	0.0201	0.2291	0.0097	0.1152	0.0623	0.3111
MAL12-2050164	0.0559	0.0424	0.0515	-0.0035	-0.0035	-0.0024
MAL12-2119221	0.0218	0.0213	0.112	0.09	0.0302	0.2182
MAL13-150118	0.0143	0.019	-5e-04	0.0731	0.0291	0.0083
MAL13-159660	0.0634	0.1437	0.1324	0.0291	0.0199	0.001
MAL13-353364	0.0425	0.0066	0.2607	0.0092	0.0953	0.1772
MAL13-639415	0.0091	0.0071	0.213	-0.0043	0.1263	0.1362
MAL13-714924	-0.0038	3e-04	-0.0024	0.0023	-0.0024	-5e-04
MAL13-853413	-0.0024	0.0511	0.0071	0.032	0.0163	0.1043
MAL13-942637	0.0086	-0.0033	0.0304	0.0112	0.0603	0.0251
MAL13-1013875	0.0043	0.0944	0.0513	0.0471	0.0166	0.0053
MAL13-1399233	0.0062	0.0228	0.0902	0.0516	0.0433	0.158
MAL13-1596183	0	0.0683	0.0099	0.1044	-0.0014	0.1368
MAL13-1661997	0.0149	0.1039	0.0654	0.2036	0.012	0.3126
MAL13-1709066	0.1703	0.3233	0.3185	0.0258	0.0247	-0.0028
MAL13-1716352	0.1027	0.003	0.0301	0.1482	0.0207	0.061
MAL13-1777097	0.0333	0.0653	0.1369	0.1935	0.0325	0.3647
MAL13-2383027	-0.0017	-0.0013	0.0134	0.0048	0.0024	0.0261
MAL13-2470584	0.0106	0.0422	0.0859	0.0044	0.0311	0.0063
MAL13-2477441	-5e-04	0.1514	0.0313	0.1082	0.0555	0.3017
MAL13-2553416	0.0571	-0.0027	0.2646	0.0691	0.0847	0.2846
MAL13-2672190	0.0115	0.0369	0.0638	0.0014	0.0149	8e-04
MAL13-2704604	0.0414	0.0631	0.1385	0.1949	0.0249	0.3441
MAL14-201791	0.3571	0.4893	0.5136	0.0128	0.0204	-0.0022
MAL14-221707	0.0298	0.5229	0.0303	0.3338	-0.0036	0.3388
MAL14-312693	0.0089	0.0096	0.0105	NaN	NaN	NaN
MAL14-334976	0.0586	0.0106	0.1338	0.1275	0.0133	0.2232
MAL14-442134	-0.0024	0.2456	0.0127	0.2071	0.0027	0.1471
MAL14-564339	0.022	0.0149	0.0397	-0.0038	-0.0017	0.0024
MAL14-722436	0.0533	0.0806	0.1359	-0.0012	0.0198	0.0065
MAL14-832589	0.0519	0.0508	0.086	-0.0045	0.0032	0.005
MAL14-860816	0.0124	0.0441	0.1292	0.1034	0.0551	0.2785
MAL14-911764	-0.0029	0.0663	0.0376	0.0821	0.0233	0.1791
MAL14-1103685	0.0072	0.0919	-0.0022	0.0377	0.004	0.0813
MAL14-1106081	-0.0037	0.1488	-0.002	0.133	-0.0036	0.1349
MAL14-1161488	0.3548	0.4129	0.4359	-0.0013	0.0026	-0.0024
MAL14-1199721	0.0047	0.0256	-0.0022	0.0014	0.0097	0.0337
MAL14-1392975	-0.0042	0.0546	0.0175	0.0447	0.0225	0.1303
MAL14-1405313	0.0315	0.0142	0.2391	-0.0013	0.0977	0.1355
MAL14-1454903	0.0261	0.0086	0.0063	0.0731	0.0028	0.0378
MAL14-1482198	0.0244	0.0035	0.1048	0.0028	0.023	0.0584
MAL14-1818960	0.1608	0.0038	0.1579	0.224	-0.0036	0.2206
MAL14-1903017	0.0453	0.0234	0.102	0.1397	0.0076	0.2225
MAL14-2181307	0.2835	0.1929	0.2539	0.0053	-0.0041	0.0017
MAL14-2275535	0.105	-0.0033	0.3262	0.0989	0.0824	0.3185
MAL14-2373291	0.0528	0.1714	0.1855	0.0348	0.0434	-0.0024
MAL14-2536420	0.0759	0.0013	0.2678	0.1091	0.0673	0.3145
MAL14-2615028	0.1192	0.2175	0.1953	0.0173	0.0093	-0.0015
MAL14-2752309	-0.0022	0.0097	-0.0024	0.0172	-0.0027	0.0128
MAL14-2816701	0.0492	0.1239	0.0769	0.0173	-4e-04	0.006
MAL14-3009282	-0.0039	0.0068	-0.0016	0.0023	-0.0035	0.0025
MAL14-3017815	-5e-04	0.055	0.0149	0.0284	0.0013	0.0096
MAL14-3043465	9e-04	0.1642	-0.002	0.1195	0.0057	0.1813
MAL14-3124740	0.1052	0.0933	0.1155	-0.0041	-0.0035	-0.0014
MAL14-3126540	0.159	0.166	0.281	-0.0044	0.0201	0.0185

Gst

Loci	sid98,  vs  sid75,	sid98,  vs  sid50,	sid98,  vs  sid1,	sid75,  vs  sid50,	sid75,  vs  sid1,	sid50,  vs  sid1,
MAL01-145461	0.0719	0.1415	0.0287	0.0133	0.0063	0.0492
MAL01-167547	0.0569	0.0088	0.0135	0.124	0.1337	-0.0038
MAL01-389906	-0.0084	0.0906	-0.0013	0.0659	-0.0076	0.0568
MAL02-131505	-0.0126	0.2353	0.1578	0.2373	0.1591	0.0067
MAL02-194835	0.0459	0.4641	0.3725	0.2402	0.1622	0.0045
MAL02-255652	0.1796	0.3152	0.4241	0.0173	0.0736	0.0119
MAL02-290673	0.5673	0.7416	0.5117	0.0359	-0.0044	0.0671
MAL02-294544	-0.0065	0.1436	-0.0042	0.1799	4e-04	0.1227
MAL02-297021	0.547	0.7261	0.4988	0.0356	-0.0055	0.0627
MAL02-322398	0.4838	0.6166	0.3551	0.0144	0.0117	0.0762
MAL02-417203	0.036	0.0423	0.045	0.1569	-0.0084	0.1687
MAL02-510210	0.0986	0.0991	0.5101	-0.0092	0.2338	0.2362
MAL02-514461	0.0236	-0.008	0.2529	0.0304	0.1082	0.2689
MAL02-569613	0.0116	0.0635	0.0679	0.0092	0.0121	-0.0038
MAL02-608790	-0.0129	0.058	0.1465	0.0474	0.1545	0.3657
MAL02-660994	-0.0067	0.5359	0.0135	0.495	0.0246	0.6489
MAL02-680916	0.1057	0.1887	0.1507	0.0127	2e-04	0.0013
MAL02-723983	0.1121	0.4471	0.1721	0.1618	-9e-04	0.1148
MAL02-792270	0.0128	0.0737	0.1314	0.1648	0.0428	0.3545
MAL03-139623	-0.0012	0.0174	0.0202	0.0321	0.0037	0.0663
MAL03-192822	0.1251	0.2236	0.2994	0.0031	0.0347	-2e-04
MAL03-355045	0.0118	0.0945	0.1064	0.0235	0.0315	-0.0041
MAL03-666808	-0.0046	0.0231	0.0912	0.0066	0.0633	0.0214
MAL03-714600	0.0021	0.5679	-0.0031	0.6148	0.0039	0.5643
MAL03-849722	0.0148	0.0422	0.0432	0.0065	0.0074	NaN
MAL04-134941	0.2907	0.2848	0.2995	0.7858	-0.0042	0.7913
MAL04-163143	0.026	0.0135	0.0021	-0.0027	0.0131	0.0029
MAL04-193196	0.0981	0.1179	0.1549	-0.0038	0.0097	0.0039
MAL04-273727	-0.0126	0.1968	0.0178	0.2093	0.0208	0.0883
MAL04-282592	0.005	-0.0021	0.0025	0.0133	0.0219	-0.0018
MAL04-307321	0.0067	0.0041	0.0234	-0.0042	0.0015	0.0066
MAL04-342497	0.2178	0.3365	0.1416	0.0087	0.0018	0.0504
MAL04-361423	0.1199	0.2494	0.0552	0.0161	0.0038	0.0714
MAL04-422595	-0.011	0.1501	-0.0075	0.1188	-0.0091	0.1516
MAL04-441887	0.0419	0.0099	0.0439	0.011	NaN	0.0128
MAL04-469608	0.0068	0.0867	0.0232	0.0528	0.0014	0.0285
MAL04-515294	0.1045	0.2115	0.0635	0.5213	-7e-04	0.4521
MAL04-544408	-0.0076	0.0049	7e-04	-0.0015	-0.0042	-0.005
MAL04-637111	0.5756	-0.0078	0.2095	0.5353	0.1536	0.1749
MAL04-666150	0.2024	-0.0051	0.1986	0.2012	-0.0102	0.1974
MAL04-680633	0.1151	0.6989	0.0282	0.3658	0.022	0.5369
MAL04-702725	0.0061	0.5767	0.0273	0.6485	0.0699	0.4258
MAL04-755220	0.8483	0.9875	0.9458	0.1346	0.0342	0.0386
MAL04-772972	0.4852	0.0244	0.4313	0.317	-0.006	0.2674
MAL04-799238	0.4073	0.0357	0.1441	0.5956	0.0838	0.3088
MAL04-809686	0.5336	0.5458	0.5189	-0.0042	-0.003	1e-04
MAL04-846290	0.0402	0.0722	0.0248	0.0065	-0.0011	0.0182
MAL04-872322	-0.0096	0.0888	0.2716	0.1027	0.2463	0.55
MAL04-894155	0.0088	NaN	0.038	0.0086	0.007	0.0378
MAL04-895873	0.1035	0.0288	0.067	0.0148	-0.0034	0.0015
MAL04-915180	0.0324	0.0398	0.0139	-0.0054	0.0029	0.0078
MAL04-934434	0.2562	0.0656	0.0985	0.4951	0.0354	0.3007
MAL04-936350	0.1614	0.0888	0.2555	0.4266	0.0019	0.5329
MAL04-991586	0.4507	-0.0063	0.2452	0.4227	0.0411	0.2203
MAL04-994352	0.0885	0.0583	-0.0029	0.2856	0.0544	0.0947
MAL05-132132	0.1787	0.5995	0.3739	0.1918	0.0401	0.0501
MAL05-144161	0.1241	-0.0041	0.1529	0.1309	-0.0067	0.1601
MAL05-192222	0.8483	0.747	0.681	0.0161	0.0484	0.0011
MAL05-329493	0.0461	-0.0035	0.0512	0.0246	-0.0086	0.0296
MAL05-364227	0.203	0.038	0.1727	0.0757	-0.0066	0.0556
MAL05-369684	0.3167	0.2036	0.4789	0.0115	0.0377	0.1045
MAL05-383150	0.0243	0.0393	0.0214	-0.0051	-0.0051	-0.0011
MAL05-396039	0.4349	0.689	0.5154	0.091	0.0011	0.0513
MAL05-426361	0.0768	0	0.2539	0.1135	0.0534	0.3032
MAL05-475275	0.3385	0.862	0.371	0.3196	-0.0104	0.2933
MAL05-622362	0.402	0.9003	0.2413	0.3225	0.0249	0.5007
MAL05-668859	0.3609	0.0183	0.6031	0.2549	0.0627	0.5015
MAL05-680743	0.0868	0.2867	0.1693	0.0697	0.0085	0.0232
MAL05-734299	0.0332	0.0212	0.1345	-0.0032	0.0446	0.0672
MAL05-796712	0.1862	0.0175	0.147	0.2943	-0.0066	0.2492
MAL05-798464	-0.0034	0.1549	1e-04	0.2066	-0.0086	0.2077
MAL05-831868	0.0101	0.324	-0.0037	0.1984	0.0262	0.3648
MAL05-855820	0.4287	0.0261	0.6522	0.2535	0.062	0.4804
MAL05-908821	0.2317	0.0798	0.5322	0.0353	0.093	0.2602
MAL05-931601	0.0027	0.0652	0.2238	0.1309	0.1334	0.4597
MAL05-1043649	0.4864	0.8275	0.325	0.1725	0.0203	0.3089
MAL05-1188652	0.0304	0.3555	-0.0046	0.194	0.0141	0.3135
MAL05-1217046	0.5097	0.7912	0.5506	0.0929	-0.0086	0.0729
MAL06-148357	0.0629	0.0208	0.0491	0.0124	-0.0034	0.0053
MAL06-159081	0.5716	0.8793	0.8529	0.1456	0.1143	-0.0018
MAL06-182962	0.0172	0.1232	-0.0044	0.0276	0.0025	0.0884
MAL06-261657	0.0345	0.1089	0.0318	0.0046	-0.0107	0.0149
MAL06-312410	0.1072	0.6478	0.041	0.3274	0.0088	0.4558
MAL06-315729	NaN	NaN	0.0758	NaN	0.0744	0.0754
MAL06-327977	0.1785	0.5152	0.3412	0.1287	0.0262	0.0334
MAL06-378824	0.1019	0.1769	0.1389	0.0133	-5e-04	0.003
MAL06-404675	-0.0049	0.0174	0.089	0.0187	0.0822	0.1499
MAL06-417465	0.0492	0.0652	0.1209	-0.005	0.0228	0.0158
MAL06-510590	-0.0049	0.0174	0.0962	0.0187	0.0892	0.158
MAL06-581030	0.5535	0.6333	0.2699	0.0133	0.0991	0.1734
MAL06-654198	-0.0021	0.0319	-0.0011	0.0029	0.0179	0.0669
MAL06-909067	0.0295	-0.0015	0.0028	0.0133	0.0566	0.012
MAL06-938236	0.2798	0.8867	0.2459	0.4244	-0.0086	0.4681
MAL07-178000	0.1397	0.0272	0.5644	0.0307	0.1994	0.3856
MAL07-277102	0.2044	0.004	0.373	0.2719	0.0273	0.4448
MAL07-281602	0.0866	-0.0037	0.0026	0.0816	0.1162	0.0039
MAL07-283525	0.0259	0.2062	0.1125	0.3662	0.0143	0.5114
MAL07-537094	0.0155	0.01	0.0313	0.0467	-0.0031	0.0657
MAL07-665556	0.0012	0.0422	0.0316	0.0187	0.0096	0.0011
MAL07-1122074	0.0025	0.0252	0.0262	0.0065	0.0074	NaN
MAL07-1184520	0.3098	-0.005	0.2026	0.3363	0.0061	0.2264
